topic_id,UMAP1,UMAP2,theme,keywords
topic_0,6.207255,5.4595065,技術、総説,"review, biology, new, research, application, system, development, recent, study, discuss, molecular, biological, provide, technology, advance"
topic_1,10.451987,4.1053743,タンパク質の構造と機能,"protein, structure, model, prediction, predict, design, structural, function, interaction, use, sequence, method, complex, network, target"
topic_2,-0.8789211,8.171641,宿主・環境への影響,"change, increase, host, interaction, bacterial, response, effect, control, nutrient, may, bacteria, result, metabolic, influence, factor"
topic_3,8.51622,10.137736,NGS解析・アセンブリ,"sequence, use, method, genome, sequencing, datum, analysis, dna, tool, assembly, approach, read, alignment, available, genomic"
topic_4,2.424666,3.952799,宿主・環境との関わり、進化への影響,"genome, gene, genomic, analysis, sequence, reveal, large, metabolic, include, host, complete, marine, encode, identify, lineage"
topic_5,1.7420387,1.553558,ファージ感染・防御システム,"virus, viral, phage, system, host, rna, crispr, giant, bacteriophage, dna, infection, bacteria, particle, infect, bacterial"
topic_6,5.287692,8.53623,系統分類,"specie, strain, genus, sequence, group, analysis, taxonomic, isolate, gene, taxonomy, base, phylogenetic, genera, rrna, study"
topic_7,10.129267,6.7522273,データベース,"database, sequence, datum, protein, tree, phylogenetic, family, available, annotation, new, classification, provide, search, set, analysis"
topic_8,-0.6193604,5.2439837,窒素・炭素の生態系循環,"carbon, methane, bacteria, anaerobic, marine, cycle, oxidation, organic, energy, archaea, growth, electron, production, nitrogen, synechococcus"
topic_9,5.3989844,0.60155046,DNA複製・レプリコン,"dna, protein, plasmid, replication, chromosome, cell, system, coli, two, escherichia_coli, contain, sequence, genome, site, mechanism"
topic_10,4.074911,4.8877764,真核生物の起源・地球史・進化史,"evolution, eukaryote, life, eukaryotic, evolutionary, origin, cyanobacteria, plant, symbiont, archaea, early, transfer, prokaryote, organism, lineage"
topic_11,2.577561,6.795387,微生物群集構造、コミュニティアセンブリ,"microbial, community, diversity, soil, ecosystem, environmental, metagenomic, environment, use, ecological, study, across, ecology, composition, taxa"
topic_12,6.593397,0.62776875,窒素代謝・分子生物学的手法,"plant, biofilm, polymerase, ammonia, vector, activity, soil, nitrification, aoa, coral, high, dna, amoa, crop, use"
topic_13,6.4481053,2.5370638,代謝経路、生化学,"enzyme, activity, pathway, protein, acid, reaction, substrate, binding, membrane, vent, metabolism, biosynthesis, complex, degradation, amino_acid"
topic_14,0.96211255,7.6870527,環境微生物群集,"bacterial, marine, water, community, sediment, bacteria, sample, diversity, abundance, high, group, microbial, depth, surface, lake"
topic_15,5.6690536,3.4209623,病原菌・抗生物質,"resistance, antibiotic, disease, pathogen, bacterial, drug, bacteria, infection, strain, type, treatment, cause, therapy, virulence, target"
topic_16,7.8904133,2.4903243,合成生物学・遺伝子発現,"gene, expression, genetic, mutation, genome, codon, essential, function, mutant, yeast, encode, identify, strain, transfer, selection"
topic_17,3.2334728,8.970839,rRNA、系統解析,"sequence, gene, rrna, clone, analysis, group, dna, phylogenetic, archaeal, library, cluster, two, pcr, related, primer"
topic_18,-1.193735,10.80921,宿主関連マイクロバイオータ,"human, microbiome, gut, microbiota, bacterial, disease, study, cancer, health, individual, sample, specie, microbial, community, composition"
topic_19,-2.783844,6.387045,地球科学的栄養循環・生命の起源,"ocean, fixation, nitrogen, marine, rate, nifh, diazotroph, pacific, cyanobacteria, oceanic, water, abundance, atlantic, sea, global"
topic_20,2.3432376,9.695938,微生物の培養・分離・未培養問題,"culture, isolate, cultivation, growth, grow, medium, uncultured, bacterium, isolation, proteorhodopsin, syntrophic, bacteria, proton, drosophila, pure"
topic_21,3.4595776,10.896335,in situ ハイブリダイゼーション,"cell, probe, use, sample, situ, hybridization, bacteria, method, fish, oligonucleotide, count, fluorescence, number, analysis, rrna"
topic_22,4.8438716,4.454315,真核生物の細胞構造,"cell, cellular, editing, membrane, minimal, plastid, cdna, organelle, rna, mrna, eukaryotic, transcriptome, vesicle, receptor, mitochondria"
